image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0143x2,0.193,0.548,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.508,0.421,,,,,,,,,,,,,,,,
0144x2,0.221,0.546,0.29,0.736842105263158,0.736842105263158,0.736842105263158,0.414,1.533,0.434,,,,,,,,,,,,,,,,
0145x2,0.138,0.429,0.206,0.736842105263158,0.736842105263158,0.736842105263158,0.367,1.508,0.31,,,,,,,,,,,,,,,,
0146x2,0.182,0.52,0.204,0.736842105263158,0.736842105263158,0.736842105263158,0.391,1.517,0.375,,,,,,,,,,,,,,,,
0147x2,0.205,0.541,0.253,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.573,0.4,,,,,,,,,,,,,,,,
0148x2,0.215,0.505,0.266,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.499,0.373,,,,,,,,,,,,,,,,
0149x2,0.213,0.537,0.239,0.736842105263158,0.736842105263158,0.736842105263158,0.393,1.603,0.355,,,,,,,,,,,,,,,,
0150x2,0.193,0.468,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.253,0.388,,,,,,,,,,,,,,,,
0151x2,0.202,0.554,0.256,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.423,0.433,,,,,,,,,,,,,,,,
0152x2,0.218,0.536,0.248,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.491,0.406,,,,,,,,,,,,,,,,
0153x2,0.198,0.522,0.202,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.508,0.372,,,,,,,,,,,,,,,,
0154x2,0.218,0.533,0.239,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.502,0.386,,,,,,,,,,,,,,,,
0155x2,0.188,0.559,0.173,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.658,0.365,,,,,,,,,,,,,,,,
0156x2,0.189,0.52,0.203,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.487,0.388,,,,,,,,,,,,,,,,
0157x2,0.212,0.541,0.253,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.495,0.413,,,,,,,,,,,,,,,,
0158x2,0.196,0.488,0.194,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.473,0.354,,,,,,,,,,,,,,,,
0159x2,0.187,0.517,0.224,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.482,0.387,,,,,,,,,,,,,,,,
0160x2,0.193,0.521,0.197,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.483,0.386,,,,,,,,,,,,,,,,
0161x2,0.199,0.5,0.245,0.736842105263158,0.736842105263158,0.736842105263158,0.393,1.455,0.375,,,,,,,,,,,,,,,,
